WorkpieceID,MeasurementID,Energy,Amplitude,Max,Spectral Centroid,Spectral Peak,Autocorrelation Peak,Label
1,0,0.288768,0.0342666666666667,0.188,26.8994971590304,50.0000000000099,1,0
1,0,0.170496,0.0266,0.188,24.8016602898718,0,1,0
1,0,0.172288,0.0268666666666667,0.188,24.288169297911,41.5254237288218,1,0
1,0,0.149888,0.0252,0.188,25.5959577076057,39.8305084745842,1,0
1,0,0.143872,0.0242666666666667,0.188,26.4335006999377,39.8305084745842,1,0
1,0,0.119168,0.0216,0.188,26.7766621449039,39.8305084745842,1,0
1,0,0.096256,0.0216666666666667,0.1,25.9923681802058,39.8305084745842,1,0
1,0,0.113152,0.0233333333333333,0.092,26.6613070337203,39.8305084745842,1,0
1,0,0.111104,0.0231333333333333,0.092,26.3266129757921,49.1525423728911,1,0
1,0,0.09728,0.0218666666666667,0.092,25.4756084139982,49.1525423728911,1,0
1,0,0.333824,0.0302666666666667,0.372,25.9168916462163,22.0338983050891,1,0
1,0,0.634624,0.0448666666666667,0.372,27.3881014234092,35.5932203389901,1,0
1,0,0.698752,0.0478,0.372,27.5384099876931,35.5932203389901,1,0
1,0,0.678016,0.0455333333333333,0.372,27.7804638363985,23.7288135593268,1,0
1,0,0.69568,0.0472666666666667,0.372,28.0466189935657,35.5932203389901,1,0
1,0,0.710272,0.049,0.372,28.0034042166867,35.5932203389901,1,0
1,0,0.492288,0.0424666666666667,0.308,28.3825217369936,50.0000000000099,1,0
1,0,0.215936,0.0296,0.18,25.815526099588,50.0000000000099,1,0
1,0,0.153984,0.0266666666666667,0.14,24.6142766533836,0.847457627118813,1,0
1,0,0.14272,0.0259333333333333,0.14,24.6778940806095,0,1,0
1,0,0.123008,0.0238666666666667,0.14,25.2536389677038,49.1525423728911,1,0
1,0,0.116864,0.0232666666666667,0.14,25.1439850068526,23.7288135593268,1,0
1,0,0.147584,0.025,0.18,26.9633405137248,49.1525423728911,1,0
1,0,0.142976,0.0252666666666667,0.18,26.3097125175654,49.1525423728911,1,0
1,0,0.138624,0.0248666666666667,0.18,26.1974016597962,39.8305084745842,1,0
1,0,0.143872,0.0255333333333333,0.18,26.6401876816961,49.1525423728911,1,0
1,0,0.628096,0.0436666666666667,0.348,26.2889668114316,49.1525423728911,1,0
1,0,0.698752,0.0480666666666667,0.348,26.5915201026493,49.1525423728911,1,0
1,0,0.744192,0.0497333333333333,0.348,26.6578984242848,22.8813559322079,1,0
1,0,0.740352,0.0501333333333333,0.348,26.7220025401206,22.8813559322079,1,0
1,0,0.825728,0.0525333333333333,0.348,26.4356705454215,22.8813559322079,1,0
1,0,0.82624,0.0525333333333333,0.348,26.2505310997371,22.8813559322079,1,0
1,0,0.484608,0.038,0.292,25.2620932086169,33.8983050847525,1,0
1,0,0.406912,0.0326666666666667,0.292,25.227232131182,39.8305084745842,1,0
1,0,0.356608,0.0298666666666667,0.292,25.2475128028392,39.8305084745842,1,0
1,0,0.377088,0.0308,0.292,24.9351964800884,41.5254237288218,1,0
1,0,0.287744,0.0278,0.148,25.4203602467563,39.8305084745842,1,0
1,0,0.289152,0.0273333333333333,0.148,25.3586816721942,39.8305084745842,1,0
1,0,0.150656,0.0244666666666667,0.148,25.6662984981499,40.677966101703,1,0
